FIGHTER_WIN;FIGHTER_LOSE;METHOD;METHOD_DESC;ROUND;TIME;EVENT_NAME;LOCATION
Jan Blachowicz;Israel Adesanya;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Amanda Nunes;Megan Anderson;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Petr Yan;Aljamain Sterling;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Islam Makhachev;Drew Dober;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Thiago Santos;Aleksandar Rakic;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Dominick Cruz;Casey Kenney;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Song Yadong;Kyler Phillips;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Joseph Benavidez;Askar Askarov;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Rogerio Bontorin;Kai Kara-France;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Tim Elliott;Jordan Espinosa;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Kennedy Nzechukwu;Carlos Ulberg;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Sean Brady;Jake Matthews;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Livinha Souza;Amanda Lemos;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Uros Medic;Aalon Cruz;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Mario Bautista;Trevin Jones;;;;;UFC 259: Blachowicz vs. Adesanya;Las Vegas, Nevada, USA
Ciryl Gane;Jairzinho Rozenstruik;U-DEC;;5;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Magomed Ankalaev;Nikita Krylov;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Montana De La Rosa;Mayra Bueno Silva;M-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Pedro Munhoz;Jimmie Rivera;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Alex Caceres;Kevin Croom;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Thiago Moises;Alexander Hernandez;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Alexis Davis;Sabina Mazo;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Ronnie Lawrence;Vince Cachero;KO/TKO;Punches;3;2:38;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Dustin Jacoby;Maxim Grishin;U-DEC;;3;5:00;UFC Fight Night: Rozenstruik vs. Gane;Las Vegas, Nevada, USA
Derrick Lewis;Curtis Blaydes;KO/TKO;Punch;2;1:26;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Yana Kunitskaya;Ketlen Vieira;U-DEC;;3;5:00;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Darrick Minner;Charles Rosa;U-DEC;;3;5:00;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Chris Daukaus;Aleksei Oleinik;KO/TKO;Punches;1;1:55;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Phil Hawes;Nassourdine Imavov;M-DEC;;3;5:00;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Tom Aspinall;Andrei Arlovski;SUB;Rear Naked Choke;2;1:09;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Jared Gordon;Danny Chavez;U-DEC;;3;5:00;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
John Castaneda;Eddie Wineland;KO/TKO;Punches;1;4:44;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Julian Erosa;Nate Landwehr;KO/TKO;Flying Knee;1;0:56;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Casey O'Neill;Shana Dobson;KO/TKO;Punches;2;3:41;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Aiemann Zahabi;Drako Rodriguez;KO/TKO;Punch;1;3:05;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Serghei Spivac;Jared Vanderaa;KO/TKO;Punches;2;4:32;UFC Fight Night: Blaydes vs. Lewis;Las Vegas, Nevada, USA
Kamaru Usman;Gilbert Burns;KO/TKO;Punches;3;0:34;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Alexa Grasso;Maycee Barber;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Kelvin Gastelum;Ian Heinisch;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Ricky Simon;Brian Kelleher;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Julian Marquez;Maki Pitolo;SUB;Anaconda Choke;3;4:17;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Anthony Hernandez;Rodolfo Vieira;SUB;Guillotine Choke;2;1:53;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Belal Muhammad;Dhiego Lima;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Polyana Viana;Mallory Martin;SUB;Armbar;1;3:18;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Chris Gutierrez;Andre Ewell;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Gabe Green;Philip Rowe;U-DEC;;3;5:00;UFC 258: Usman vs. Burns;Las Vegas, Nevada, USA
Alexander Volkov;Alistair Overeem;KO/TKO;Punch;2;2:06;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Cory Sandhagen;Frankie Edgar;KO/TKO;Flying Knee;1;0:28;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Clay Guida;Michael Johnson;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Alexandre Pantoja;Manel Kape;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Beneil Dariush;Diego Ferreira;S-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Danilo Marques;Mike Rodriguez;SUB;Rear Naked Choke;2;4:52;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Devonte Smith;Justin Jaynes;KO/TKO;;2;3:38;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Karol Rosa;Joselyne Edwards;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Lara Procopio;Molly McCann;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
SeungWoo Choi;Youssef Zalal;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Timur Valiev;Martin Day;U-DEC;;3;5:00;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Ode Osbourne;Jerome Rivera;KO/TKO;Punch;1;0:26;UFC Fight Night: Overeem vs. Volkov;Las Vegas, Nevada, USA
Dustin Poirier;Conor McGregor;KO/TKO;Punches;2;2:32;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Michael Chandler;Dan Hooker;KO/TKO;Punch;1;2:30;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Joanne Calderwood;Jessica Eye;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Makhmud Muradov;Andrew Sanchez;KO/TKO;Punches;3;2:59;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Marina Rodriguez;Amanda Ribas;KO/TKO;Punch;2;0:54;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Arman Tsarukyan;Matt Frevola;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Brad Tavares;Antonio Carlos Junior;U-DEC;;3;5:00;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
Julianna Pena;Sara McMann;SUB;Rear Naked Choke;3;3:39;UFC 257: Poirier vs. McGregor;Abu Dhabi, Abu Dhabi, United Arab Emirates
